Country,ISO3,mang_km2_00,loss_km2_00_05,loss_km2_05_10,loss_km2_10_16,erosion_loss_km2_00_05,ewe_loss_km2_00_05,commodities_loss_00_05,npc_loss_00_05,settlement_loss_00_05,erosion_loss_km2_05_10,ewe_loss_km2_05_10,commodities_loss_05_10,npc_loss_05_10,settlement_loss_05_10,erosion_loss_km2_10_16,ewe_loss_km2_10_16,commodities_loss_10_16,npc_loss_10_16,settlement_loss_10_16
Angola,AGO,307.14,0.53,0.5,0.83,0,0,0,0.4,0.13,0.01,0,0,0.26,0.22,0,0.03,0,0.67,0.14
Australia,AUS,11492.85,39.3,31.15,9.59,6.63,28.18,0.01,4.49,0,6.27,23.35,0,1.53,0,3.16,5.02,0,1.35,0.06
Bangladesh,BGD,4533.13,49.01,30.54,9.23,38.44,2.26,2.64,5.48,0.2,23.94,2.36,1.49,2.16,0.59,8.02,0.36,0,0.77,0.07
Belize,BLZ,661.71,0.71,1.27,1.5,0.1,0.34,0.09,0.13,0.05,0.06,0.27,0.34,0.41,0.19,0.09,0.11,0.27,0.36,0.68
Benin,BEN,65.09,0.11,0.01,0,0.01,0,0.02,0.06,0.03,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,12360.4,98.68,75.08,49.62,55.46,23.27,15.06,4.8,0.09,43.64,23.25,4.89,3.24,0.05,30.04,15.85,1.81,1.86,0.06
Brunei,BRN,129.6,0.41,0.06,0.14,0,0,0.4,0.01,0,0,0,0.06,0,0,0,0,0.09,0.04,0.02
Cambodia,KHM,558.48,7.35,5.62,1.7,3.91,0.11,3.04,0.28,0.01,1.85,0.04,3.53,0.2,0,1.21,0,0.46,0.03,0
Cameroon,CMR,2166.28,13.98,6.24,1.2,0.66,8.3,0,3.25,1.77,0.57,4.81,0,0.65,0.21,0.26,0.62,0,0.23,0.09
Colombia,COL,2724.35,12.7,5.19,4.72,4.2,1.03,0.72,6.68,0.06,3.81,0.66,0.07,0.59,0.06,2.74,0.75,0.05,0.99,0.19
Costa Rica,CRI,437.61,0.68,0.83,0.98,0.35,0.01,0.09,0.22,0,0.45,0.02,0.16,0.19,0,0.59,0.04,0.06,0.29,0
Cuba,CUB,4947.29,60.46,74.9,37.77,18.86,24.95,2.72,13.9,0.02,33.37,19.72,1.13,20.44,0.24,16.82,9.54,1.01,10.35,0.05
Djibouti,DJI,7.32,0,0.02,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0
Dominican Republic,DOM,206.67,1.14,0.87,0.5,0.21,0.5,0,0.41,0.02,0.11,0.15,0,0.44,0.17,0.08,0.19,0,0.22,0.01
Ecuador,ECU,1555.02,4.58,2.08,0.72,0.91,0.44,2.98,0.24,0,0.44,0.03,1.29,0.3,0.02,0.28,0.01,0.37,0.06,0
El Salvador,SLV,373.32,0.66,0.57,0.51,0.03,0,0.06,0.56,0.01,0.05,0,0.04,0.48,0,0.03,0,0.03,0.45,0
Equatorial Guinea,GNQ,164.02,0.04,0.16,0.05,0,0.01,0,0.03,0,0,0,0.01,0.14,0,0,0,0,0.05,0
Eritrea,ERI,84.06,0.1,0,0.01,0.01,0.06,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0
