"SOVEREIGN1","ISO_SOV1","driver.category.2"
"Spain","ESP","Catchment processes"
"Spain","ESP","Climate and storms"
"China","CHN","Aquaculture and fishing"
"China","CHN","Catchment processes"
"China","CHN","Climate and storms"
"Solomon Islands","SLB","Catchment processes"
"United States","USA","Catchment processes"
"United States","USA","Climate and storms"
"Japan","JPN","Catchment processes"
"United States","USA","Boating"
"France","FRA","Climate and storms"
"France","FRA","Catchment processes"
"South Africa","ZAF","Climate and storms"
"South Africa","ZAF","Catchment processes"
"Vietnam","VNM","Aquaculture and fishing"
"Vietnam","VNM","Catchment processes"
"United Kingdom","GBR","Aquaculture and fishing"
"United Kingdom","GBR","Catchment processes"
"Malaysia","MYS","Catchment processes"
"Malaysia","MYS","Aquaculture and fishing"
"Malaysia","MYS","Climate and storms"
"Australia","AUS","Climate and storms"
"Australia","AUS","Catchment processes"
"Australia","AUS","Boating"
"Australia","AUS","Aquaculture and fishing"
"Portugal","PRT","Catchment processes"
"Portugal","PRT","Aquaculture and fishing"
"Portugal","PRT","Boating"
"Portugal","PRT","Climate and storms"
"Portugal","PRT","Disease"
"Denmark","DNK","Disease"
"Denmark","DNK","Catchment processes"
"Denmark","DNK","Climate and storms"
"Germany","DEU","Catchment processes"
"Vietnam","VNM","Climate and storms"
"France","FRA","Aquaculture and fishing"
"France","FRA","Disease"
"Mauritania","MRT","Catchment processes"
"Mauritania","MRT","Aquaculture and fishing"
"Mauritania","MRT","Disease"
"Netherlands","NLD","Catchment processes"
"Netherlands","NLD","Disease"
"Kenya","KEN","Catchment processes"
"Kenya","KEN","Aquaculture and fishing"
"India","IND","Aquaculture and fishing"
"Italy","ITA","Catchment processes"
"Italy","ITA","Aquaculture and fishing"
"Sweden","SWE","Catchment processes"
"Sweden","SWE","Boating"
"France","FRA","Boating"
"Japan","JPN","Climate and storms"
